NO;BUYER;CONTRACT NO;LOT;PO NO / L/C NO;BOOKING NO;B/L NO;COMMODITY;QTY;VOL;POL;POD;INCOTERMS;PAYMENT TERM; UNIT PRICE ; AMOUNT ; DISCOUNT AMOUNT ;BANK;"NGÀY TRÌNH
BTC";"DISCOUNT DATE
NGÀY CHI?T KH?U";ETD;DHL NO;PAYMENT DATE;Updating;31-Thg12;;;;;;;;;;;
21;IE SYNERGY;01/PD-IES/2025;2;LC 1CMLC662890;AVDSH835150007 ;AVDSH835150007 ;SVR10 CV60 + SBR1502;80,64;4;DAD;SHANGHAI;CIF;TT; 1.750,00 ; 141.120,00 ; - ;AGRI;-;-;13/09/2025;29 6603 2086;12/09/2025;;;;;;;;;;;;;
22;JK;LTC2025/PD-JK/AUG;5;4100013041 ;ETHDADMAA012435;VSE251249;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.663,17 ; 167.647,54 ; 150.882,78 ;EXIM;23/09/2025;-;19/09/2025; 83 0499 9920;10/10/2025;;;;;;;;;;;;;
23;GRI;01/PD-GRI/2025;-;OB6094LC2509864;041FX04554;041FX04554;RSS3;40,32;2;DAD;COLOMBO;CIF;LC 90 ngày; 2.080,00 ; 83.865,60 ; 75.479,04 ;AGRI;30/09/2025;06/10/2025;27/09/2025;9385930271;26/12/2025;;;;;;;;;;;;;
24;MALAYA;03/PD-MIC/2025;-;-;041FX03852;041FX03852;Compound;100,8;5;DAD;VIZAG;FOB;TT; 1.790,00 ; 180.432,00 ; - ;AGRI;-;-;27/09/2025;8226807271;15/09/2025;;;;;;;;;;;;;
25;IE SYNERGY;02/PD-IES/2025;1;-;238500160300;EGLV238500160300;SVR10 CV60 + SBR1502;100,8;5;DAD;SHANGHAI;CIF;TT; 1.765,00 ; 177.912,00 ; - ;TP;-;-;01/10/2025;6863676175;29/09/2025;;;;;;;;;;;;;
26;IE SYNERGY;02/PD-IES/2025;2;-;AVDSH835160009;AVDSH835160009;SVR10 CV60 + SBR1502;100,8;5;DAD;SHANGHAI;CIF;TT; 1.765,00 ; 177.912,00 ; - ;TP;-;-;01/10/2025;5336630191;07/10/2025;;;;;;;;;;;;;
27;GRI;02/PD-GRI/2025;-;OB6094LC2511038 ;EBKG14293315 ;MEDUHQ993337;SVR10;63;3;DAD;COLOMBO;CIF;LC 90 ngày; 1.900,00 ; 83.865,60 ; 75.479,04 ;VIETTIN;05/10/2025;07/10/2025;02/10/2025;5060332771;31/12/2025;;;;;;;;;;;;;
28;JK;LTC2025/PD-JK/SEPT;1;4100013084;ONEYDADF08753300 ;AP-25EX0703;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.688,43 ; 170.193,74 ; 149.770,49 ;TP;05/10/2025;03/10/2025;05/10/2025;71 1381 3932;04/11/2025;;;;;;;;;;;;;
29;GRI;03/PD-GRI/2025;-;906OMLCU25010249;DADF09208600;ONEYDADF09208600;SVR10;63;3;DAD;COLOMBO;CIF;LC 90 ngày; 1.825,00 ; 114.975,00 ; 103.477,50 ;VIETTIN;05/10/2025;09/10/2025;05/10/2025;25 1216 2144;05/01/2026;;;;;;;;;;;;;
30;PT AYUMAS;01/PD-PAA/2025;-;-;SGNFX7292400;ONEYSGNFX7292400;SVR3L;21;1;HCM;BELAWAN;CIF;TT; 1.890,00 ; 39.690,00 ; - ;AGRI;-;-;11/10/2025; 47 9019 6423;16/10/2025;;;;;;;;;;;;;
31;ATC;LTC2024/PD-ATC-AP/JL;3;5200005911;SUDUDAMAACAA0007;VNCNN1000005;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.751,53 ; 176.554,22 ; 158.898,80 ;TP;15/10/2025;13/10/2025;14/10/2025;14 1876 0490;14/11/2025;;;;;;;;;;;;;
32;R1;SGP_000014561;-;4100013012;DADF08751800;AP-25EX0699;SVR10;120,96;6;DAD;CHENNAI;FOB;TT; 1.645,00 ; 198.979,20 ; - ;AGRI;-;-;14/10/2025;G?i vào HCM;17/10/2025;;;;;;;;;;;;;
33;INDO;09/PD-AIC/2025;-;-;1167354;TALHMC03071771;SVR3L;42;2;HCM;JAKARTA;CIF;TT; 1.890,00 ; 79.380,00 ; - ;AGRI;-;-;20/10/2025;1271262650;25/10/2025;;;;;;;;;;;;;
34;MALAYA;04/PD-MIC/2025;3;-;DADF08525700;BDN250900140;RSS3;40,32;2;DAD;NHAVA;FOB;TT; 2.040,00 ; 82.252,80 ; - ;AGRI;-;-;25/10/2025;6394176375;08/10/2025;;;;;;;;;;;;;
35;ATC;LTC2024/PD-ATC-AP/AU;1;5200005991;ONEYDADF09512400;VNCNN1000011;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.647,65 ; 166.083,12 ; 149.474,81 ;TP;26/10/2025;21/10/2025;25/10/2025;50 1277 4675;14/11/2025;;;;;;;;;;;;;
36;PIX;03/PD-PIX/2025;-;240LC01252810006;DADF09844500 ;ONEYDADF09844500 ;RSS3;20,16;1;DAD;NHAVA;CIF;LC 30 ngày; 2.170,00 ; 43.747,20 ; 39.372,48 ;VIETTIN;26/10/2025;28/10/2025;25/10/2025; 14 7609 2612;27/11/2025;;;;;;;;;;;;;
37;PIX;04A/PD-PIX/2025;-;240LC01252810006;DADF09845600 ;ONEYDADF09845600 ;SVR10;40,32;2;DAD;NHAVA;CIF;LC 30 ngày; 1.980,00 ; 79.833,60 ; 71.850,24 ;VIETTIN;26/10/2025;28/10/2025;25/10/2025; 14 7609 2612;27/11/2025;;;;;;;;;;;;;
38;PIX;04B/PD-PIX/2025;-;240LC01252810006;DADF09917600 ;ONEYDADF09917600 ;SVR10;60,48;3;DAD;NHAVA;CIF;LC 30 ngày; 1.980,00 ; 119.750,40 ; 107.775,36 ;VIETTIN;26/10/2025;28/10/2025;25/10/2025; 14 7609 2612;27/11/2025;;;;;;;;;;;;;
39;TOWER GLOBAL;03/PD-TG/2025;10;-;238500172863;EGLV238500172863;SVR10  + SBR1502;201,6;10;DAD;QINGDAO;CIF;DP; 1.755,00 ; 353.808,00 ; 318.427,20 ;TP;26/10/2025;17/10/2025;26/10/2025;25 1249 8181;06/11/2025;;;;;;;;;;;;;
40;INDO; 10/PD-AIC/2025;-;-;BSGNC25038802;BSGNC25038802;SVR3L;42;2;HCM;JAKARTA;CIF;TT; 1.875,00 ; 78.750,00 ; 70.875,00 ;AGRI;-;-;27/10/2025;3482807742;30/10/2025;;;;;;;;;;;;;
41;INDO;11/PD-AIC/2025;-;-;BSGNC25040329;SGNCB25040329;SVR3L;20,3;1;HCM;SURABAYA;CIF;TT; 1.900,00 ; 38.570,00 ; 34.713,00 ;AGRI;-;-;28/10/2025;6523062350;05/11/2025;;;;;;;;;;;;;
42;JK;LTC2025/PD-JK/SEPT;5;4100013085;EBKG14390289;VSE251591 ;SVR10;100,8;5;DAD;NHAVA;FOB;DP; 1.688,43 ; 170.193,74 ; 153.174,37 ;TP;03/11/2025;21/10/2025;01/11/2025;74 5891 8795;21/11/2025;;;;;;;;;;;;;
21-Thg11;JK;LTC2025/PD-JK/SEPT;3;4100013084;041FX05008;VSE251728;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.688,43 ; 170.193,74 ; 153.174,37 ;TP;03/11/2025;24/10/2025;02/11/2025;74 5891 8795;21/11/2025;;;;;;;;;;;;;
44;ATC;LTC2024/PD-ATC-EOU/SEPT;2;5200006097;DADF10117400 ;CIMC2510112;SVR10;100,8;5;DAD;NHAVA;FOB;DP; 1.750,38 ; 176.438,30 ; 158.794,47 ;TP;07/11/2025;31/10/2025;05/11/2025;58 1862 7780;24/11/2025;;;;;;;;;;;;;
45;PT AYUMAS;02/PD-PAA/2025;-;-;7263664780;COAU7263664780;SVR3L;21;1;HCM;BELAWAN;CIF;TT; 1.875,00 ; 39.375,00 ; - ;AGRI;-;-;14/11/2025;83 1676 3195;19/11/2025;;;;;;;;;;;;;
46;INDO; 12A/PD-AIC/2025;-;-;BSGNC25042315;SGNCB25042315;SVR3L;42;2;HCM;JAKARTA;CIF;TT; 1.868,00 ; 78.456,00 ; - ;AGRI;-;-;14/11/2025;83 1666 2373;19/11/2025;;;;;;;;;;;;;
47;ATC;LTC2024/PD-ATC-EOU/SEPT;1;5200006097;DADF10038600;ONEYDADF10038600;SVR10;100,8;5;DAD;NHAVA;FOB;DP; 1.750,38 ; 176.438,30 ; 158.794,47 ;TP;22/11/2025;12/11/2025;19/11/2025;7794580592;05/12/2025;;;;;;;;;;;;;
